Date,Cur,Inv,TDate
01-2010,119612,15000,2010-01-01
01-2011,46169,7500,2011-01-01
02-2011,32025,5000,2011-02-01
03-2011,49492,7500,2011-03-01
04-2011,47089,7500,2011-04-01
05-2011,47255,7500,2011-05-01
06-2011,47301,7500,2011-06-01
01-2013,28413,5000,2013-01-01
09-2014,3882,1000,2014-09-01
11-2014,76184,21000,2014-11-01
12-2014,3576,1000,2014-12-01
01-2015,31840,11000,2015-01-01
02-2015,3398,1000,2015-02-01
03-2015,3171,1000,2015-03-01
04-2015,3210,1000,2015-04-01
10-2015,29358,9000,2015-10-01
11-2015,30463,9000,2015-11-01
12-2015,30390,9000,2015-12-01
01-2016,31367,9000,2016-01-01
02-2016,32782,9000,2016-02-01
03-2016,31747,9000,2016-03-01
07-2016,11291,3000,2016-07-01
08-2016,36711,13500,2016-08-01
09-2016,36251,13500,2016-09-01
10-2016,29895,12000,2016-10-01
11-2016,36228,13500,2016-11-01
12-2016,32819,12000,2016-12-01
01-2017,31812,12000,2017-01-01
02-2017,12011,6000,2017-02-01
03-2017,2770,3000,2017-03-01
04-2017,29410,13000,2017-04-01
05-2017,102157,52500,2017-05-01
06-2017,180344,87000,2017-06-01
07-2017,177969,86500,2017-07-01
08-2017,178577,81328,2017-08-01
09-2017,170134,76500,2017-09-01
10-2017,219247,105500,2017-10-01
11-2017,168749,77500,2017-11-01
12-2017,163028,76500,2017-12-01
01-2018,161038,77500,2018-01-01
02-2018,167566,77000,2018-02-01
03-2018,159638,71583,2018-03-01
04-2018,146917,67000,2018-04-01
05-2018,147541,67000,2018-05-01
06-2018,151301,57286,2018-06-01
07-2018,140990,52500,2018-07-01
08-2018,139394,54585,2018-08-01
09-2018,129790,50000,2018-09-01
10-2018,146216,52000,2018-10-01
11-2018,138646,51000,2018-11-01
12-2018,134265,50000,2018-12-01
01-2019,141709,53000,2019-01-01
02-2019,137405,50000,2019-02-01
03-2019,152171,60000,2019-03-01
04-2019,129009,51000,2019-04-01
05-2019,134378,52000,2019-05-01
06-2019,122462,48823,2019-06-01
07-2019,118979,47000,2019-07-01
08-2019,108389,40830,2019-08-01
09-2019,100709,39000,2019-09-01
10-2019,135528,55000,2019-10-01
11-2019,116576,49000,2019-11-01
12-2019,118052,50000,2019-12-01
01-2020,113216,49000,2020-01-01
02-2020,176894,72500,2020-02-01
03-2020,166498,55500,2020-03-01
04-2020,198890,65500,2020-04-01
05-2020,240162,78000,2020-05-01
06-2020,219719,78000,2020-06-01
07-2020,182104,67981,2020-07-01
08-2020,158825,63483,2020-08-01
09-2020,167825,68981,2020-09-01
10-2020,170073,71480,2020-10-01
11-2020,155234,69481,2020-11-01
12-2020,118062,56982,2020-12-01
01-2021,134161,67980,2021-01-01
02-2021,165212,86979,2021-02-01
03-2021,77518,42986,2021-03-01
04-2021,137042,73979,2021-04-01
05-2021,128692,84982,2021-05-01
06-2021,195827,106976,2021-06-01
07-2021,122802,78979,2021-07-01
08-2021,122171,73980,2021-08-01
09-2021,192376,121474,2021-09-01
10-2021,165181,106968,2021-10-01
11-2021,233410,154963,2021-11-01
12-2021,257369,166958,2021-12-01
01-2022,308303,202459,2022-01-01
02-2022,203602,129967,2022-02-01
03-2022,414481,266620,2022-03-01
04-2022,197948,131974,2022-04-01
05-2022,210757,131974,2022-05-01
06-2022,262276,159471,2022-06-01
07-2022,163247,101976,2022-07-01
08-2022,246045,166969,2022-08-01
09-2022,135902,92545,2022-09-01
10-2022,133911,88981,2022-10-01
11-2022,154236,103979,2022-11-01
12-2022,166034,107975,2022-12-01
01-2023,155446,97976,2023-01-01
02-2023,131642,82978,2023-02-01
03-2023,188594,112974,2023-03-01
04-2023,118181,75358,2023-04-01
05-2023,157181,101480,2023-05-01
06-2023,125400,86482,2023-06-01
07-2023,128439,91481,2023-07-01
08-2023,121787,86482,2023-08-01
09-2023,108166,78485,2023-09-01
10-2023,150347,108481,2023-10-01
11-2023,180848,135980,2023-11-01
12-2023,169120,135980,2023-12-01
01-2024,164225,135980,2024-01-01
02-2024,171305,145978,2024-02-01
03-2024,135064,115982,2024-03-01
04-2024,163452,145978,2024-04-01
05-2024,133880,120981,2024-05-01
06-2024,143942,135980,2024-06-01
07-2024,172288,170973,2024-07-01
08-2024,143996,143977,2024-08-01
09-2024,137556,143977,2024-09-01
10-2024,141290,143977,2024-10-01
11-2024,143841,143977,2024-11-01
12-2024,5983,5998,2024-12-01
