,Date,Fund,NAV,Units,Inv,Cur
0,11-2022,ICICI_India_Opportunities_Fund,21.7,230.403,4999.75,8248.43
1,12-2022,ICICI_India_Opportunities_Fund,21.46,232.98,4999.75,8340.68
2,01-2023,ICICI_India_Opportunities_Fund,21.14,236.507,4999.75,8466.95
3,03-2023,ICICI_India_Opportunities_Fund,20.82,240.142,4999.75,8597.08
4,03-2023,ICICI_India_Opportunities_Fund,20.74,241.068,4999.75,8630.23
5,05-2023,ICICI_India_Opportunities_Fund,21.61,231.363,4999.75,8282.8
6,05-2023,ICICI_India_Opportunities_Fund,22.41,223.104,4999.75,7987.12
7,06-2023,ICICI_India_Opportunities_Fund,23.73,210.693,4999.75,7542.81
8,07-2023,ICICI_India_Opportunities_Fund,25.44,196.531,4999.75,7035.81
9,08-2023,ICICI_India_Opportunities_Fund,25.46,196.377,4999.75,7030.3
10,09-2023,ICICI_India_Opportunities_Fund,26.68,187.397,4999.75,6708.81
11,10-2023,ICICI_India_Opportunities_Fund,26.08,191.708,4999.75,6863.15
12,11-2023,ICICI_India_Opportunities_Fund,27.59,181.216,4999.75,6487.53
13,12-2023,ICICI_India_Opportunities_Fund,29.5,169.483,4999.75,6067.49
14,01-2024,ICICI_India_Opportunities_Fund,30.01,166.603,4999.75,5964.39
15,02-2024,ICICI_India_Opportunities_Fund,30.91,161.752,4999.75,5790.72
16,04-2024,ICICI_India_Opportunities_Fund,32.11,155.707,4999.75,5574.31
17,04-2024,ICICI_India_Opportunities_Fund,32.64,153.179,4999.75,5483.81
18,05-2024,ICICI_India_Opportunities_Fund,33.05,151.278,4999.75,5415.75
19,07-2024,ICICI_India_Opportunities_Fund,35.05,142.646,4999.75,5106.73
20,07-2024,ICICI_India_Opportunities_Fund,35.43,141.116,4999.75,5051.95
21,07-2024,ICICI_India_Opportunities_Fund,35.89,139.308,4999.75,4987.23
22,07-2024,ICICI_India_Opportunities_Fund,36.58,136.68,4999.75,4893.14
23,08-2024,ICICI_India_Opportunities_Fund,35.94,139.114,4999.75,4980.28
24,08-2024,ICICI_India_Opportunities_Fund,37.13,134.655,4999.75,4820.65
25,08-2024,ICICI_India_Opportunities_Fund,37.77,132.374,4999.75,4738.99
26,09-2024,ICICI_India_Opportunities_Fund,38.04,131.434,4999.75,4705.34
27,09-2024,ICICI_India_Opportunities_Fund,39.08,127.936,4999.75,4580.11
28,09-2024,ICICI_India_Opportunities_Fund,38.88,128.594,4999.75,4603.67
29,10-2024,ICICI_India_Opportunities_Fund,37.48,133.398,4999.75,4775.65
30,10-2024,ICICI_India_Opportunities_Fund,37.63,132.866,4999.75,4756.6
31,10-2024,ICICI_India_Opportunities_Fund,37.02,135.055,4999.75,4834.97
32,11-2024,ICICI_India_Opportunities_Fund,37.23,134.294,4999.75,4807.73
33,11-2024,ICICI_India_Opportunities_Fund,35.68,140.128,4999.75,5016.58
34,11-2024,ICICI_India_Opportunities_Fund,36.76,136.011,4999.75,4869.19
35,12-2024,ICICI_India_Opportunities_Fund,37.51,133.291,4999.75,4771.82
36,12-2024,ICICI_India_Opportunities_Fund,36.17,138.229,4999.75,4948.6
37,12-2024,ICICI_India_Opportunities_Fund,36.2,138.115,4999.75,4944.52
38,06-2021,Axis_Mid_Cap_Fund,66.51,75.173,4999.75,9209.44
39,07-2021,Axis_Mid_Cap_Fund,68.92,72.544,4999.75,8887.37
40,08-2021,Axis_Mid_Cap_Fund,71.02,70.399,4999.75,8624.58
41,09-2021,Axis_Mid_Cap_Fund,76.97,64.957,4999.75,7957.88
42,09-2021,Axis_Mid_Cap_Fund,77.41,32.294,2499.88,3956.34
43,09-2021,Axis_Mid_Cap_Fund,77.09,129.712,9999.5,15891.02
44,09-2021,Axis_Mid_Cap_Fund,76.41,32.717,2499.88,4008.16
45,10-2021,Axis_Mid_Cap_Fund,77.21,32.378,2499.88,3966.63
46,10-2021,Axis_Mid_Cap_Fund,79.34,63.017,4999.75,7720.21
47,10-2021,Axis_Mid_Cap_Fund,80.58,31.024,2499.88,3800.75
48,10-2021,Axis_Mid_Cap_Fund,78.64,31.789,2499.88,3894.47
49,10-2021,Axis_Mid_Cap_Fund,78.35,31.907,2499.88,3908.93
50,11-2021,Axis_Mid_Cap_Fund,79.03,31.632,2499.88,3875.24
51,11-2021,Axis_Mid_Cap_Fund,80.24,62.31,4999.75,7633.6
52,11-2021,Axis_Mid_Cap_Fund,80.92,30.893,2499.88,3784.7
53,11-2021,Axis_Mid_Cap_Fund,80.67,61.978,4999.75,7592.92
54,11-2021,Axis_Mid_Cap_Fund,81.4,30.711,2499.88,3762.4
55,11-2021,Axis_Mid_Cap_Fund,78.51,31.842,2499.88,3900.96
